,x,y,cluster,distance_from_0,distance_from_1,closest,color
0,1,1,0,4.416574464834695,1.0129245810459737,1,r
1,1,1,0,4.416574464834695,1.0129245810459737,1,r
2,1,0,0,4.39189465937903,0.9367455479730389,1,r
3,3,0,0,2.4064552829008687,1.2409084757803635,1,r
4,3,0,0,2.4064552829008687,1.2409084757803635,1,r
5,4,1,0,1.5031841196969358,2.24043715428742,0,g
6,2,1,0,3.4288881825147928,0.5976596177551894,1,r
7,6,0,0,0.7378750049166032,4.187289849137255,0,g
8,2,0,0,3.3970403094225676,0.45680743585829114,1,r
9,5,0,0,0.5415859655871369,3.194090710809538,0,g
10,5,0,0,0.5415859655871369,3.194090710809538,0,g
11,3,1,0,2.4512075254758265,1.2993759388658068,1,r
12,4,0,0,1.4290455532841582,2.2070420605579,0,g
13,3,0,0,2.4064552829008687,1.2409084757803635,1,r
14,6,0,0,0.7378750049166032,4.187289849137255,0,g
15,3,1,0,2.4512075254758265,1.2993759388658068,1,r
16,3,0,0,2.4064552829008687,1.2409084757803635,1,r
17,4,0,0,1.4290455532841582,2.2070420605579,0,g
18,2,1,0,3.4288881825147928,0.5976596177551894,1,r
19,2,1,0,3.4288881825147928,0.5976596177551894,1,r
20,1,1,0,4.416574464834695,1.0129245810459737,1,r
21,4,1,0,1.5031841196969358,2.24043715428742,0,g
22,2,1,0,3.4288881825147928,0.5976596177551894,1,r
23,2,0,0,3.3970403094225676,0.45680743585829114,1,r
24,1,0,0,4.39189465937903,0.9367455479730389,1,r
25,2,1,0,3.4288881825147928,0.5976596177551894,1,r
26,3,0,0,2.4064552829008687,1.2409084757803635,1,r
27,2,1,0,3.4288881825147928,0.5976596177551894,1,r
28,3,0,0,2.4064552829008687,1.2409084757803635,1,r
29,7,0,0,1.6720058874419081,5.18310496637836,0,g
30,2,0,0,3.3970403094225676,0.45680743585829114,1,r
31,1,0,0,4.39189465937903,0.9367455479730389,1,r
32,3,0,0,2.4064552829008687,1.2409084757803635,1,r
33,6,0,0,0.7378750049166032,4.187289849137255,0,g
34,4,0,0,1.4290455532841582,2.2070420605579,0,g
35,4,1,0,1.5031841196969358,2.24043715428742,0,g
36,10,0,0,4.642093943676666,8.176681449580897,0,g
37,3,1,0,2.4512075254758265,1.2993759388658068,1,r
38,4,0,0,1.4290455532841582,2.2070420605579,0,g
39,3,0,0,2.4064552829008687,1.2409084757803635,1,r
40,1,0,0,4.39189465937903,0.9367455479730389,1,r
41,5,0,0,0.5415859655871369,3.194090710809538,0,g
42,3,0,0,2.4064552829008687,1.2409084757803635,1,r
43,2,1,0,3.4288881825147928,0.5976596177551894,1,r
44,3,1,0,2.4512075254758265,1.2993759388658068,1,r
45,1,0,0,4.39189465937903,0.9367455479730389,1,r
46,2,1,0,3.4288881825147928,0.5976596177551894,1,r
47,6,1,0,0.872840665430125,4.204987546465239,0,g
48,3,0,0,2.4064552829008687,1.2409084757803635,1,r
49,4,1,0,1.5031841196969358,2.24043715428742,0,g
50,10,0,0,4.642093943676666,8.176681449580897,0,g
51,2,1,0,3.4288881825147928,0.5976596177551894,1,r
52,1,1,0,4.416574464834695,1.0129245810459737,1,r
53,3,0,0,2.4064552829008687,1.2409084757803635,1,r
54,1,0,0,4.39189465937903,0.9367455479730389,1,r
55,3,1,0,2.4512075254758265,1.2993759388658068,1,r
56,5,0,0,0.5415859655871369,3.194090710809538,0,g
57,1,1,0,4.416574464834695,1.0129245810459737,1,r
58,1,0,0,4.39189465937903,0.9367455479730389,1,r
59,3,1,0,2.4512075254758265,1.2993759388658068,1,r
60,3,0,0,2.4064552829008687,1.2409084757803635,1,r
61,1,0,0,4.39189465937903,0.9367455479730389,1,r
62,3,0,0,2.4064552829008687,1.2409084757803635,1,r
63,3,1,0,2.4512075254758265,1.2993759388658068,1,r
64,4,1,0,1.5031841196969358,2.24043715428742,0,g
65,2,0,0,3.3970403094225676,0.45680743585829114,1,r
66,2,1,0,3.4288881825147928,0.5976596177551894,1,r
67,4,0,0,1.4290455532841582,2.2070420605579,0,g
68,4,0,0,1.4290455532841582,2.2070420605579,0,g
